name;Ca_AES;Co_AES;Cu_AES;Fe_AES;Ni_AES;Масса навески (g);sample_mass;V_aliq (l);Разбавление
T2-1A3;14.56;1.157566667;0.07355;1062.733333;44.88333333;;;0.01;50
T2-1A4;5.915666667;0.232866667;0.0246;223.9333333;8.912666667;;;0.01;50
T2-2A1;5.814333333;0.2299;0.0594;235.8333333;8.999;;;0.01;50
T2-2A2;6.144;0.252366667;0.0202;239.6;9.509;;;0.01;50
T2-3A1;7.276666667;0.229366667;0.0103;227.9333333;8.872666667;;;0.01;10
T2-F2A11;14.36333333;0.0383;0.00555;892.7666667;1.782;;;0.01;10
T2-F2A12;13.83;0.036066667;0.00545;856.5333333;1.715333333;;;0.01;10
T2-F2A21;13.90666667;0.059666667;0.00565;1085.3;2.627;;;0.01;10
T2-F2A22;14.12;0.062066667;0.00565;1100.6;2.67;;;0.01;10
T2-L1A11;12.13;0.782;5.4275;2008.333333;35.81;;;0.01;10
T2-L1A12;14.29;0.792333333;5.478;2010;36.15666667;;;0.01;10
T2-L1A21;18.55333333;0.777666667;10.1605;2076;35.1;;;0.01;10
T2-L1A22;21.05666667;0.858;11.41;2181.666667;38.65;;;0.01;10
T2-L2A11;21.24666667;1.036666667;6.0025;2351.333333;47.7;;;0.01;10
T2-L2A12;20.67666667;1.067666667;6.2455;2493.666667;49.85333333;;;0.01;10
T2-L2A21;14.43;0.958666667;6.503;1971;44.33333333;;;0.01;10
T2-L2A22;15.27;1.016666667;6.7325;2327.666667;47.13;;;0.01;10
T2-L3B1A1;16.57666667;0.841333333;8.596;2593.666667;38.35;;;0.01;10
T2-L3B2A1;30.62333333;0.801;9.1005;2480.666667;36.29333333;;;0.01;10
T2-L3P3A11;16.42333333;0.1232;0.004;1788.333333;2.104;;;0.01;10
T2-L3P3A12;19.41;0.3922;0.0057;2355.333333;2.638;;;0.01;10
T2-L3P3F3A1;16.98;0.215133333;0.01195;2115;0.184133333;;;0.01;10
T2-L3P3F3A2;16.66;0.305966667;0.0043;2035.666667;4.545666667;;;0.01;10
T2-L4A1;51.51057402;1.735649547;18.71601208;4618.328298;79.58710977;;;0.01;10
T2-L4A2;66.61120685;2.51827203;30.16221998;6640.917464;116.6260622;;;0.01;10
T2-L4P4A1;21.55666667;0.518066667;0.01595;2077;11.00333333;;;0.01;10
T2-L4P4A2;22.75666667;0.5315;0.00865;2165.666667;10.98333333;;;0.01;10
T2-L4P4F4A1;23.44333333;0.4631;0.0045;1970;11.94666667;;;0.01;10
T2-L4P4F4A2;19.44333333;0.3889;0.0041;1889.333333;10.21;;;0.01;10
T2-L4P4F4N4A1;20.1;0.001533333;0.0088;6.540666667;0.0158;;;0.01;10
T2-L4P4F4N4A2;20.87666667;0.0009;0.01355;4.145666667;0.0082;;;0.01;10
T2-N1A3;14.61;0.001166667;0.01135;8.853333333;0.0022;;;0.01;10
T2-N1A4;15.55333333;0.0011;0.0124;0.449;0.001066667;;;0.01;10
T2-N2A11;14.59;0.0011;0.0114;2.028333333;0.002133333;;;0.01;10
T2-N2A12;14.94;0.0005;0.0112;2;0.0021;;;0.01;10
T2-N2A21;13.56;0.001133333;0.01065;10.08766667;0.016833333;;;0.01;10
T2-N2A22;13.82666667;0.001133333;0.01135;10.17;0.016966667;;;0.01;10
T2-N3A1;14.67;0.002033333;0.0071;44.37;0.007433333;;;0.01;10
T2-N3A2;18.70666667;0.000933333;0.0079;0.5897;0.0005;;;0.01;10
T2-P1A31;19.03666667;0.2668;0.0116;2101;0.614133333;;;0.01;10
T2-P1A32;17.10666667;0.239533333;0.01115;1958;0.5535;;;0.01;10
T2-P1A41;17.42666667;0.2784;0.00945;1971.666667;0.640166667;;;0.01;10
T2-P1A42;17.72;0.2845;0.0098;2009.666667;0.650666667;;;0.01;10
T2-P2A11;16.63666667;0.046166667;0.0067;1536;0.0298;;;0.01;10
T2-P2A12;16.50333333;0.046066667;0.00675;1552.333333;0.028933333;;;0.01;10
T2-P2A21;30.58666667;0.1108;0.0556;1853.666667;0.4239;;;0.01;10
T2-P2A22;29.39666667;0.106233333;0.05435;1872.666667;0.410733333;;;0.01;10
T2-1B3;13.60666667;0.051566667;0.7223;941;1.732333333;107.2;;0.05;
T2-1B4;13.60666667;0.051566667;0.7223;941;1.732333333;107.2;;0.05;
T2-L1B11;48.8;0.030366667;0.6274;153.3;1.133333333;109.4;;0.05;
T2-L1B12;68.76666667;0.034733333;0.75785;176.4;1.360333333;125;;0.05;
T2-L1B13;28.03;0.027633333;0.34345;187.2333333;1.061;111.9;;0.05;
T2-L1P1B31;158.9666667;0.042433333;0.28655;363.7;1.370333333;182;;0.05;
T2-L1P1B32;96.43333333;0.034033333;0.2762;411.0333333;0.942433333;104.4;;0.05;
T2-L1P1B33;115.3333333;0.038366667;0.2917;468;1.022666667;122;;0.05;
T2-L1P1B41;181.7;0.036133333;0.2642;280.9666667;1.735333333;101;;0.05;
T2-L1P1B42;109.1333333;0.039966667;0.283;466.3;0.8051;117;;0.05;
T2-L1P1B43;193.0666667;0.045733333;0.2979;326.0333333;1.327666667;118.5;;0.05;
T2-L1P1F1D4;135.4333333;0.6605;3.8665;289.3;23.36;100.6;22.602;0.05;
T2-L1P1F1N1E3;297.3666667;0.014233333;0.0761;270.9;0.676533333;112.2;81.7694;0.05;
T2-L1P1F1N1E4;248.1666667;0.018266667;0.08605;285.9333333;0.6335;106.6;38.5501;0.05;
