name;Al_AES;Ca_AES;Co_AES;Cu_AES;Fe_AES;Mg_AES;Mn_AES;Ni_AES;Pb_AES;S_AES;Si_AES;Zn_AES;Масса навески (g);sample_mass;V_aliq (l)
T2-L2P2F2N2E1;4.98740966;285.4409889;0.014487066;0.034239184;4.665947219;4.760129501;0.199417901;0.266045325;0.017659178;229.8145786;3.815608751;0.054007652;99.4;78.6032;0.05
T2-L2P2F2N2E2;6.393535867;350.3078158;0.020309154;0.047075749;4.636308887;4.744211724;0.263115632;0.403988223;0.022634502;296.9586456;4.440578158;0.056761911;108.4;31.8768;0.05
T2-L2P2F2D1;9.11283433;280.1964908;0.527304988;2.476670829;1.96359335;1.965564829;0.089373727;13.48886114;0.03593021;447.1314977;4.122116712;0.246040612;109.7;6.2806;0.05
T2-L2P2F2D2;8.208137972;222.8433719;0.751434473;4.072264664;2.150234434;2.154168989;0.09275714;19.47998295;0.028082888;473.2286304;3.635774943;0.411849569;101.6;5.2881;0.05
T2-L1P1F1D3;10.88851351;246.3851351;0.766283784;4.165540541;2.30777027;2.318918919;0.115810811;17.58040541;0.022601351;591.8918919;11.80236486;0.487905405;101.7;2.2798;0.05
T2-L2B1;17.26555099;24.33059678;0.055730976;0.483628039;9.501105147;9.484527944;0.376034102;1.239027471;0.077012946;358.0202084;5.144616356;0.049210609;102.7;;0.05
T2-L2P2B1;6.001629195;251.3685239;0.045780384;0.181182796;3.652981427;3.676930596;0.128250244;1.107526882;0.018719453;254.6920821;5.269794721;0.074926686;98.8;;0.05
T2-L2P2B2;10.14870009;384.7004848;0.072332672;0.317004523;5.651905118;5.744639313;0.224156444;1.858978948;0.027039339;421.4037029;3.158331435;0.103374223;163.1;;0.05
T2-L2P2F2B1;6.234858247;256.0728093;0.013434278;0.037355026;2.841494845;2.84632732;0.107764175;0.193279639;0.020538015;244.3782216;4.260067655;0.066591495;100.8;1.1618;0.05
T2-L2P2F2B2;7.52325965;311.0854503;0.016067305;0.131095348;3.26525899;3.284559551;0.129660178;0.25526229;0.025189706;300.7423293;5.439788849;0.051171231;105.5;1.2349;0.05
T2-L2P2F2N2E2;6.209069311;332.5069724;0.01817994;0.049530007;4.75157525;4.810453466;0.231208897;0.364549117;0.029439108;281.2209482;2.517301932;0.147092243;96.1;1.3453;0.05
T2-L2P2F2N2E1;5.737776435;314.65821;0.015906574;0.03508507;4.736736132;4.792107118;0.229739253;0.326467331;0.018826135;256.0153025;5.374760898;0.043491392;95.5;1.3611;0.05
T2-L2B2;11.78289873;19.23438448;0.041146149;0.327334748;7.348999394;7.333535476;0.280685264;0.92354154;0.049166161;276.2128563;0.698832626;0.063993329;105.2;;0.05
T2-L1P1B3;6.012417055;230.7010052;0.045923395;0.201629328;3.806911504;3.823171934;0.151829709;1.305761776;0.01956179;277.412785;3.792622035;0.087362854;100.3;;0.05
T2-L1P1B4;5.946849141;236.3621897;0.045480586;0.169000637;4.451304901;4.478039465;0.156047104;1.250222788;0.018905156;282.1928708;4.551320815;0.060105029;97.7;;0.05
T2-L1B3;9.256816741;66.21116043;0.040963855;0.546163602;7.125237793;7.097653773;0.27098922;0.878960051;0.040948003;370.0538998;7.094086874;0.048367153;96.9;28;0.05
T2-P5A1;14.00251034;63.24940933;0.702709687;0.019935027;110.2960721;107.8706438;3.911695216;11.0229622;0.153167454;4181.925576;10.17710794;0.507900177;;;
T2-P5A2;5.003201024;66.7893726;0.672179542;0.017178831;109.3683312;107.5277422;3.655569782;8.66709347;0.126227059;1981.967563;8.983141272;0.467669654;;;
T2-N5A1;0.084710351;53.11016144;0.002279202;0.010588794;38.44254511;37.91073124;0.079962013;0.030940171;0.02345679;111.8708452;0.205579297;0.021557455;;;
T2-N5A2;0.050803403;50.10396975;0.001417769;0.010822306;50.84120983;49.73534972;0.269187146;0.016994329;0.058412098;124.1965974;0.229395085;0.020746692;;;
T2-F5A1;30.21903272;58.38888511;0.524998299;0.478640909;84.95340453;85.75437045;2.876675056;11.47881097;0.103921502;1750.901299;10.10033331;0.400584994;;;
T2-F5A2;8.27303194;57.04637166;0.547807947;0.012208467;93.20497914;91.54811572;3.125641201;9.151015662;0.110183982;1723.548321;8.243280213;0.406470146;;;
T2-L5A1;189.1813079;86.23058978;1.428154844;6.883793832;147.6270321;148.9392724;6.198148283;37.19326383;0.526591091;8428.956769;4.590653933;0.832397755;;;
T2-L5A2;161.3786149;96.00605035;1.379695322;5.585767278;138.185616;138.0235531;5.756113372;36.55706414;0.479436021;8134.476177;3.826484676;0.797349372;;;
T2-5A1;24.53794856;37.18799619;1.305493808;0.070879644;99.65068276;93.89171165;4.397268974;40.05080978;0.156954589;880.7557955;6.29485551;0.696602096;;;
T2-5A2;24.53794856;37.18799619;1.305493808;0.070879644;99.65068276;93.89171165;4.397268974;40.05080978;0.156954589;880.7557955;6.29485551;0.696602096;;;
