name;sample_mass;V (ml);pH;Объем р-ра H2SO4 (ml);Объем суспензии Ca(OH)2;Массовая доля Ca(OH)2;Масса железных окатышей (g);Объем суспензии CaCO3;Массовая доля CaCO3
E2-23C1;113;84.93;;42;;;;;
E2-23C2;112.1;85;;41;;;;;
E2-24C1;97.21;74.85;;34;;;;;
E2-24C2;97.41;74.91;;34;;;;;
E2-25C1;96.93;74.907;;34;;;;;
E2-25C2;96.89;74.917;;34;;;;;
E2-L23C1;190.28;126.93;;42;;;;;
E2-L23C2;187.54;126;;41;;;;;
E2-L24C1;159.77;108.85;;34;;;;;
E2-L24C2;159.97;108.91;;34;;;;;
E2-L25C1;159.49;108.907;;34;;;;;
E2-L25C2;159.45;108.917;;34;;;;;
E2-P23C1;217.2187755;246.93;2.06;;120;0.2;4.5;;
E2-P23C2;215.6012245;251;2.04;;125;0.2;5;;
E2-P25C1;190.9185714;248.85;2.00;;140;0.2;4;;
E2-P25C2;193.1234694;258.91;2.00;;150;0.2;4;;
E2-F23C1;;;4.19;;;;;;
E2-F23C2;;;3.97;;;;;;
E2-F25C1;;;4.05;;;;;;
E2-F25C2;;;4.48;;;;;;
E2-N23C1;;;8.29;;56;0.2;;50;0.2
E2-N23C2;;;8.03;;68;0.2;;60;0.2
E2-N25C1;;;8.73;;65.00;0.2;;80;0.2
E2-N25C2;;;10.04;;60;0.2;;70;0.2
